ENSG00000006659	LGALS14
ENSG00000008517	IL32
ENSG00000010438	PRSS3
ENSG00000013573	DDX11
ENSG00000026950	BTN3A1
ENSG00000066813	ACSM2B
ENSG00000068985	PAGE1
ENSG00000070031	SCT
ENSG00000075886	TUBA3D
ENSG00000089335	ZNF302
ENSG00000100068	LRP5L
ENSG00000102069	
ENSG00000102128	RAB40AL
ENSG00000105205	CLC
ENSG00000105352	CEACAM4
ENSG00000105750	ZNF85
ENSG00000106714	CNTNAP3
ENSG00000109181	UGT2B10
ENSG00000110203	FOLR3
ENSG00000110900	TSPAN11
ENSG00000111843	TMEM14C
ENSG00000114547	ROPN1B
ENSG00000115386	REG1A
ENSG00000116785	CFHR3
ENSG00000118620	ZNF430
ENSG00000122543	OCM
ENSG00000122728	TAF1L
ENSG00000123594	ATXN3L
ENSG00000125144	MT1G
ENSG00000125498	KIR2DL1
ENSG00000126251	GPR42
ENSG00000126752	SSX1
ENSG00000126890	CTAG2
ENSG00000129204	USP6
ENSG00000131127	ZNF141
ENSG00000132010	ZNF20
ENSG00000132517	SLC52A1
ENSG00000132958	TPTE2
ENSG00000133433	GSTT2B
ENSG00000133475	GGT2
ENSG00000134365	CFHR4
ENSG00000134551	PRH2
ENSG00000135226	UGT2B28
ENSG00000135702	CHST5
ENSG00000139797	RNF113B
ENSG00000143185	XCL2
ENSG00000144015	TRIM43
ENSG00000144134	RABL2A
ENSG00000144199	FAHD2B
ENSG00000146757	ZNF92
ENSG00000147996	CBWD5
ENSG00000151846	PABPC3
ENSG00000152086	TUBA3E
ENSG00000152926	ZNF117
ENSG00000155428	TRIM74
ENSG00000157322	CLEC18A
ENSG00000157326	DHRS4
ENSG00000158483	FAM86C1
ENSG00000159882	ZNF230
ENSG00000159885	ZNF222
ENSG00000160229	ZNF66
ENSG00000160862	AZGP1
ENSG00000161807	OR7G1
ENSG00000162747	FCGR3B
ENSG00000163060	TEKT4
ENSG00000163098	BIRC8
ENSG00000163374	YY1AP1
ENSG00000163735	CXCL5
ENSG00000163736	PPBP
ENSG00000163737	PF4
ENSG00000164556	FAM183BP
ENSG00000165055	METTL2B
ENSG00000165059	PRKACG
ENSG00000165584	SSX3
ENSG00000166840	GLYATL1
ENSG00000167232	ZNF91
ENSG00000167822	OR8J3
ENSG00000169715	MT1E
ENSG00000170100	ZNF778
ENSG00000170298	LGALS9B
ENSG00000170369	CST2
ENSG00000170373	CST1
ENSG00000171291	ZNF439
ENSG00000171847	FAM90A1
ENSG00000171916	LGALS9C
ENSG00000171989	LDHAL6B
ENSG00000172236	TPSAB1
ENSG00000173041	ZNF680
ENSG00000173213	TUBB8P12
ENSG00000173262	SLC2A14
ENSG00000173272	MZT2A
ENSG00000173535	TNFRSF10C
ENSG00000173876	
ENSG00000174428	GTF2IRD2B
ENSG00000174450	GOLGA6L2
ENSG00000174501	ANKRD36C
ENSG00000175718	RBMXL3
ENSG00000176540	OR4C5
ENSG00000176566	DCAF4L2
ENSG00000177138	FAM9B
ENSG00000177476	OR2G3
ENSG00000177688	SUMO4
ENSG00000177990	DPY19L2
ENSG00000178605	GTPBP6
ENSG00000178935	ZNF552
ENSG00000180138	CSNK1A1L
ENSG00000180574	EIF2S3B
ENSG00000181433	SAGE1
ENSG00000181896	ZNF101
ENSG00000182141	ZNF708
ENSG00000182308	DCAF4L1
ENSG00000182890	GLUD2
ENSG00000182986	ZNF320
ENSG00000183269	OR52E8
ENSG00000183304	FAM9A
ENSG00000183434	TFDP3
ENSG00000184022	OR2T10
ENSG00000184110	EIF3C
ENSG00000185158	LRRC37B
ENSG00000185164	NOMO2
ENSG00000185303	SFTPA2
ENSG00000185684	EP400P1
ENSG00000185947	ZNF267
ENSG00000186160	CYP4Z1
ENSG00000186777	ZNF732
ENSG00000187010	RHD
ENSG00000187268	FAM9C
ENSG00000187372	PCDHB13
ENSG00000188269	OR7A5
ENSG00000188375	H3F3C
ENSG00000188624	IGFL3
ENSG00000188868	ZNF563
ENSG00000189013	KIR2DL4
ENSG00000189064	GAGE2A
ENSG00000189269	DRICH1
ENSG00000189306	RRP7A
ENSG00000196081	ZNF724
ENSG00000196247	ZNF107
ENSG00000196313	POM121
ENSG00000196406	SPANXD
ENSG00000196418	ZNF124
ENSG00000196550	FAM72A
ENSG00000196578	OR5AC2
ENSG00000196604	POTEF
ENSG00000196622	
ENSG00000197008	ZNF138
ENSG00000197020	ZNF100
ENSG00000197123	ZNF679
ENSG00000197213	ZSCAN5B
ENSG00000197372	ZNF675
ENSG00000197446	CYP2F1
ENSG00000197479	PCDHB11
ENSG00000197647	ZNF433
ENSG00000197838	CYP2A13
ENSG00000197888	UGT2B17
ENSG00000198033	TUBA3C
ENSG00000198039	ZNF273
