Primate-specific Genes (PSGs) with Coding Evidence,,,,,,,
,,,,,,,
"For coding genes, we examined whether they are supported by UniProt annotation (“evidence at the protein level""), GO annotation (GO terms corresponding to experimental evidence codes including: TAS, IPI, IDA, EXP, IMP, IC, IEP and IGI), proteogenomics (at least two uniquely mapping spectra) and various Ka/Ks tests (significant or not). “1” and ""NA"" means the precense and absence of evidence, respectively. ",,,,,,,
,,,,,,,
Ensembl ID,UniProt,MS,Orthologous Constraint Test (Ka/Ks<1),Paralogous Constraint Test (Ka/Ks<0.5),Polymorphism-based Test,Branch Test (Ka/Ks<1),Experimental GO ID
ENSG00000006659,1,NA,1,NA,NA,NA,
ENSG00000008517,1,NA,NA,NA,NA,NA,GO:0006955;GO:0007155;GO:0006952;GO:0006952;GO:0007155;GO:0006955;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006952;GO:0007155;GO:0006955;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006952;GO:0007155;GO:0006955;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;GO:0006955;GO:0007155;GO:0006952;
ENSG00000010438,1,1,NA,NA,NA,NA,GO:0006767;GO:0006766;GO:0009235;GO:0031638;GO:0043542;GO:0007586;GO:0044281;GO:0045087;GO:0006508;GO:0005615;GO:0005576;GO:0008236;GO:0004252;GO:0005509;GO:0005515;GO:0006508;GO:0045087;GO:0044281;GO:0007586;GO:0043542;GO:0031638;GO:0009235;GO:0006766;GO:0006767;GO:0005576;GO:0005615;GO:0005515;GO:0005509;GO:0004252;GO:0008236;GO:0045087;GO:0044281;GO:0007586;GO:0043542;GO:0031638;GO:0009235;GO:0006766;GO:0006767;GO:0005576;GO:0005615;GO:0005515;GO:0005509;GO:0008236;
ENSG00000013573,1,NA,NA,NA,NA,NA,GO:0008284;GO:0044267;GO:0000086;GO:0000070;GO:0030968;GO:0007062;GO:0000084;GO:0006987;GO:0005634;GO:0005654;GO:0000922;GO:0030496;GO:0000790;GO:0005515;GO:0008094;GO:0003678;GO:0004386;GO:0008284;GO:0044267;GO:0000086;GO:0000070;GO:0030968;GO:0007062;GO:0000084;GO:0006987;GO:0005634;GO:0005654;GO:0000922;GO:0030496;GO:0000790;GO:0005515;GO:0008094;GO:0003678;GO:0004386;GO:0008284;GO:0044267;GO:0000086;GO:0000070;GO:0030968;GO:0007062;GO:0000084;GO:0006987;GO:0005634;GO:0005654;GO:0000922;GO:0030496;GO:0000790;GO:0005515;GO:0008094;GO:0003678;GO:0004386;GO:0006987;GO:0000084;GO:0007062;GO:0030968;GO:0000070;GO:0000086;GO:0044267;GO:0008284;GO:0000790;GO:0030496;GO:0000922;GO:0005654;GO:0005634;GO:0004386;GO:0003678;GO:0008094;GO:0005515;GO:0008284;GO:0044267;GO:0000086;GO:0000070;GO:0030968;GO:0007062;GO:0000084;GO:0006987;GO:0005634;GO:0005654;GO:0000922;GO:0030496;GO:0000790;GO:0005515;GO:0008094;GO:0003678;GO:0004386;GO:0006987;GO:0000084;GO:0007062;GO:0030968;GO:0000070;GO:0000086;GO:0044267;GO:0008284;GO:0000790;GO:0030496;GO:0000922;GO:0005654;GO:0005634;GO:0004386;GO:0003678;GO:0008094;GO:0005515;GO:0008284;GO:0044267;GO:0000086;GO:0000070;GO:0030968;GO:0007062;GO:0000084;GO:0006987;GO:0005634;GO:0005654;GO:0000922;GO:0030496;GO:0000790;GO:0005515;GO:0008094;GO:0003678;GO:0004386;
ENSG00000026950,1,1,NA,NA,NA,NA,GO:0050798;GO:0050663;GO:0072643;GO:0050852;GO:0005886;GO:0005515;GO:0050852;GO:0072643;GO:0050663;GO:0050798;GO:0005886;GO:0005515;GO:0050798;GO:0050663;GO:0072643;GO:0050852;GO:0005886;GO:0005515;GO:0050798;GO:0050663;GO:0072643;GO:0050852;GO:0005886;GO:0005515;
ENSG00000066813,1,1,NA,NA,NA,NA,GO:0006805;GO:0044281;GO:0005759;GO:0006805;GO:0044281;GO:0005759;GO:0006805;GO:0044281;GO:0005759;
ENSG00000068985,1,NA,NA,NA,NA,NA,GO:0006968;
ENSG00000070031,1,NA,NA,NA,NA,NA,GO:0005576;
